SUBMIT$7320461393185366016$NJ4GNBSAX0000693$REALTIME$TIME:20250509092725,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.00,4033:0,2204:3.7,2603:28.7015220,2602:113.0613520,3012:220,3013:83,3014:20250509092721,3015:19,3016:12,4014:0,2601:0,3019:0,4040:0,4041:0,4043:0,4044:1
SUBMIT$7320476445644853248$NJ4GNBSAX0000693$REALTIME$TIME:20250509102714,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583520,3012:0,3013:85,3014:20250509102702,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476445649047552$NJ4GNBSAX0000693$REALTIME$TIME:20250509102714,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583520,3012:0,3013:85,3014:20250509102703,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476445653241856$NJ4GNBSAX0000693$REALTIME$TIME:20250509102714,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583520,3012:0,3013:85,3014:20250509102704,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476445657436160$NJ4GNBSAX0000693$REALTIME$TIME:20250509102714,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583520,3012:0,3013:85,3014:20250509102705,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476445661630464$NJ4GNBSAX0000693$REALTIME$TIME:20250509102714,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583520,3012:0,3013:85,3014:20250509102706,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476445665824768$NJ4GNBSAX0000693$REALTIME$TIME:20250509102714,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583520,3012:0,3013:85,3014:20250509102707,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476445670019072$NJ4GNBSAX0000693$REALTIME$TIME:20250509102714,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583520,3012:0,3013:85,3014:20250509102708,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476445674213376$NJ4GNBSAX0000693$REALTIME$TIME:20250509102714,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583510,3012:0,3013:85,3014:20250509102709,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476445678407680$NJ4GNBSAX0000693$REALTIME$TIME:20250509102714,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583510,3012:0,3013:85,3014:20250509102710,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476445682601984$NJ4GNBSAX0000693$REALTIME$TIME:20250509102714,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:59,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583510,3012:0,3013:85,3014:20250509102711,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476489596940288$NJ4GNBSAX0000693$REALTIME$TIME:20250509102724,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583510,3012:0,3013:85,3014:20250509102712,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476489601134592$NJ4GNBSAX0000693$REALTIME$TIME:20250509102724,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583510,3012:0,3013:85,3014:20250509102713,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476489605328896$NJ4GNBSAX0000693$REALTIME$TIME:20250509102724,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583510,3012:0,3013:85,3014:20250509102714,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476489609523200$NJ4GNBSAX0000693$REALTIME$TIME:20250509102724,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583510,3012:0,3013:85,3014:20250509102715,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476489613717504$NJ4GNBSAX0000693$REALTIME$TIME:20250509102724,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583510,3012:0,3013:85,3014:20250509102716,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7320476489617911808$NJ4GNBSAX0000693$REALTIME$TIME:20250509102724,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102717,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476489622106112$NJ4GNBSAX0000693$REALTIME$TIME:20250509102724,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102718,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476489626300416$NJ4GNBSAX0000693$REALTIME$TIME:20250509102724,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102719,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476489630494720$NJ4GNBSAX0000693$REALTIME$TIME:20250509102724,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102720,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476511575121920$NJ4GNBSAX0000693$REALTIME$TIME:20250509102729,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102721,3015:20,3016:11,4014:0,2601:0,3019:0,4040:0,4041:0,4043:0,4044:1
SUBMIT$7320476533804916736$NJ4GNBSAX0000693$REALTIME$TIME:20250509102735,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102722,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476533809111040$NJ4GNBSAX0000693$REALTIME$TIME:20250509102735,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102723,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476533813305344$NJ4GNBSAX0000693$REALTIME$TIME:20250509102735,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102724,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476533817499648$NJ4GNBSAX0000693$REALTIME$TIME:20250509102735,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583500,3012:0,3013:85,3014:20250509102725,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476533821693952$NJ4GNBSAX0000693$REALTIME$TIME:20250509102735,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102726,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476533825888256$NJ4GNBSAX0000693$REALTIME$TIME:20250509102735,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102727,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476533830082560$NJ4GNBSAX0000693$REALTIME$TIME:20250509102735,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102728,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476533834276864$NJ4GNBSAX0000693$REALTIME$TIME:20250509102735,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102729,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476533838471168$NJ4GNBSAX0000693$REALTIME$TIME:20250509102735,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583490,3012:0,3013:85,3014:20250509102730,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476533842665472$NJ4GNBSAX0000693$REALTIME$TIME:20250509102735,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583490,3012:0,3013:85,3014:20250509102731,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476577681530880$NJ4GNBSAX0000693$REALTIME$TIME:20250509102745,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102732,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476577685725184$NJ4GNBSAX0000693$REALTIME$TIME:20250509102745,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102733,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476577689919488$NJ4GNBSAX0000693$REALTIME$TIME:20250509102745,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102734,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476577694113792$NJ4GNBSAX0000693$REALTIME$TIME:20250509102745,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102735,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476577698308096$NJ4GNBSAX0000693$REALTIME$TIME:20250509102745,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102736,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476577702502400$NJ4GNBSAX0000693$REALTIME$TIME:20250509102745,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102737,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476577706696704$NJ4GNBSAX0000693$REALTIME$TIME:20250509102745,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102738,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476577710891008$NJ4GNBSAX0000693$REALTIME$TIME:20250509102745,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583500,3012:0,3013:85,3014:20250509102739,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476577715085312$NJ4GNBSAX0000693$REALTIME$TIME:20250509102745,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583510,3012:0,3013:85,3014:20250509102740,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476577719279616$NJ4GNBSAX0000693$REALTIME$TIME:20250509102745,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583510,3012:0,3013:85,3014:20250509102741,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476621813997568$NJ4GNBSAX0000693$REALTIME$TIME:20250509102756,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583510,3012:0,3013:85,3014:20250509102742,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476621818191872$NJ4GNBSAX0000693$REALTIME$TIME:20250509102756,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583510,3012:0,3013:85,3014:20250509102743,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476621822386176$NJ4GNBSAX0000693$REALTIME$TIME:20250509102756,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583520,3012:0,3013:85,3014:20250509102744,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476621826580480$NJ4GNBSAX0000693$REALTIME$TIME:20250509102756,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583520,3012:0,3013:85,3014:20250509102745,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476621830774784$NJ4GNBSAX0000693$REALTIME$TIME:20250509102756,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583520,3012:0,3013:85,3014:20250509102746,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476621834969088$NJ4GNBSAX0000693$REALTIME$TIME:20250509102756,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583520,3012:0,3013:85,3014:20250509102747,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476621839163392$NJ4GNBSAX0000693$REALTIME$TIME:20250509102756,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583530,3012:0,3013:85,3014:20250509102748,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476621843357696$NJ4GNBSAX0000693$REALTIME$TIME:20250509102756,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583530,3012:0,3013:85,3014:20250509102749,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476621847552000$NJ4GNBSAX0000693$REALTIME$TIME:20250509102756,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583530,3012:0,3013:85,3014:20250509102750,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476621851746304$NJ4GNBSAX0000693$REALTIME$TIME:20250509102756,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583530,3012:0,3013:85,3014:20250509102751,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476665761914880$NJ4GNBSAX0000693$REALTIME$TIME:20250509102806,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583530,3012:0,3013:85,3014:20250509102752,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476665766109184$NJ4GNBSAX0000693$REALTIME$TIME:20250509102806,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583530,3012:0,3013:85,3014:20250509102753,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476665770303488$NJ4GNBSAX0000693$REALTIME$TIME:20250509102806,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583530,3012:0,3013:85,3014:20250509102754,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476665774497792$NJ4GNBSAX0000693$REALTIME$TIME:20250509102806,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583530,3012:0,3013:85,3014:20250509102755,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476665778692096$NJ4GNBSAX0000693$REALTIME$TIME:20250509102806,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583530,3012:0,3013:85,3014:20250509102756,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476665782886400$NJ4GNBSAX0000693$REALTIME$TIME:20250509102806,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583530,3012:0,3013:85,3014:20250509102757,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476665787080704$NJ4GNBSAX0000693$REALTIME$TIME:20250509102806,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583530,3012:0,3013:85,3014:20250509102758,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476665791275008$NJ4GNBSAX0000693$REALTIME$TIME:20250509102806,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583530,3012:0,3013:85,3014:20250509102759,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476665795469312$NJ4GNBSAX0000693$REALTIME$TIME:20250509102806,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997780,2602:113.0583530,3012:0,3013:85,3014:20250509102800,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476665799663616$NJ4GNBSAX0000693$REALTIME$TIME:20250509102806,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583530,3012:0,3013:85,3014:20250509102801,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476709726597120$NJ4GNBSAX0000693$REALTIME$TIME:20250509102817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583530,3012:0,3013:85,3014:20250509102802,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476709730791424$NJ4GNBSAX0000693$REALTIME$TIME:20250509102817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583530,3012:0,3013:85,3014:20250509102803,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476709734985728$NJ4GNBSAX0000693$REALTIME$TIME:20250509102817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583540,3012:0,3013:85,3014:20250509102804,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476709739180032$NJ4GNBSAX0000693$REALTIME$TIME:20250509102817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583540,3012:0,3013:85,3014:20250509102805,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476709743374336$NJ4GNBSAX0000693$REALTIME$TIME:20250509102817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583540,3012:0,3013:85,3014:20250509102806,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476709747568640$NJ4GNBSAX0000693$REALTIME$TIME:20250509102817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583540,3012:0,3013:85,3014:20250509102807,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476709751762944$NJ4GNBSAX0000693$REALTIME$TIME:20250509102817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583540,3012:0,3013:85,3014:20250509102808,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476709755957248$NJ4GNBSAX0000693$REALTIME$TIME:20250509102817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583540,3012:0,3013:85,3014:20250509102809,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476709760151552$NJ4GNBSAX0000693$REALTIME$TIME:20250509102817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583540,3012:0,3013:85,3014:20250509102810,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476709764345856$NJ4GNBSAX0000693$REALTIME$TIME:20250509102817,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:60,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583540,3012:0,3013:85,3014:20250509102811,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476775971459072$NJ4GNBSAX0000693$REALTIME$TIME:20250509102832,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:61,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583540,3012:0,3013:85,3014:20250509102812,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476775975653376$NJ4GNBSAX0000693$REALTIME$TIME:20250509102832,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:61,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583540,3012:0,3013:85,3014:20250509102813,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476775979847680$NJ4GNBSAX0000693$REALTIME$TIME:20250509102832,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:61,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583540,3012:0,3013:85,3014:20250509102814,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476775984041984$NJ4GNBSAX0000693$REALTIME$TIME:20250509102832,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:61,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583540,3012:0,3013:85,3014:20250509102815,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476775988236288$NJ4GNBSAX0000693$REALTIME$TIME:20250509102832,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:61,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583540,3012:0,3013:85,3014:20250509102816,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476775992430592$NJ4GNBSAX0000693$REALTIME$TIME:20250509102832,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:61,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583540,3012:0,3013:85,3014:20250509102817,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476775996624896$NJ4GNBSAX0000693$REALTIME$TIME:20250509102832,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:61,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583550,3012:0,3013:85,3014:20250509102818,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476776000819200$NJ4GNBSAX0000693$REALTIME$TIME:20250509102832,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:61,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583550,3012:0,3013:85,3014:20250509102819,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476776005013504$NJ4GNBSAX0000693$REALTIME$TIME:20250509102832,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:61,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583550,3012:0,3013:85,3014:20250509102820,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476776009207808$NJ4GNBSAX0000693$REALTIME$TIME:20250509102832,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:61,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.6997770,2602:113.0583550,3012:0,3013:85,3014:20250509102821,3015:20,3016:11,4014:0,2601:0,3019:0
SUBMIT$7320476753833922560$NJ4GNBSAX0000693$REALTIME$TIME:20250509102827,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:2.72,4033:61,2204:0,2603:28.6997770,2602:113.0583550,3012:0,3013:85,3014:20250509102822,3015:20,3016:11,4014:0,2601:0,3019:0,4040:0,4041:0,4043:0,4044:1
