SUBMIT$7353043851214733312$EC73BD2504030074$REALTIME$TIME:20250807071828,gw:farm,3004:55,4042:1,4030:1,4031:0,4032:0.00,4033:0,2603:0.00000000,2602:0.00000000,2204:0,3012:0,3013:0,3014:20250807071828,3015:0,3016:56,4014:99,4430:0,2601:1,3019:0,4403:1,4404:0,4040:0,4041:0,4043:0,4044:1
SUBMIT$7353139526958997504$EC73BD2504030074$REALTIME$TIME:20250807133839,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.70,4033:22,4040:0,4041:0,4043:0,4044:1,2204:5,2603:29.10795125,2602:118.95767101,3012:229,3013:90,3014:20250807133837,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139526963191808$EC73BD2504030074$REALTIME$TIME:20250807133839,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.70,4033:22,4040:0,4041:0,4043:0,4044:1,2204:5.7,2603:29.10794478,2602:118.95766018,3012:235,3013:90,3014:20250807133838,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139526967386112$EC73BD2504030074$REALTIME$TIME:20250807133839,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.70,4033:22,4040:0,4041:0,4043:0,4044:1,2204:5.3,2603:29.10793816,2602:118.95764953,3012:229,3013:90,3014:20250807133839,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139569254354944$EC73BD2504030074$REALTIME$TIME:20250807133849,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.73,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.8,2603:29.10793148,2602:118.95763916,3012:223,3013:90,3014:20250807133840,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139569258549248$EC73BD2504030074$REALTIME$TIME:20250807133849,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.73,4033:23,4040:0,4041:0,4043:0,4044:1,2204:3.6,2603:29.10792423,2602:118.95762823,3012:238,3013:90,3014:20250807133841,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139569262743552$EC73BD2504030074$REALTIME$TIME:20250807133849,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.73,4033:23,4040:0,4041:0,4043:0,4044:1,2204:5.4,2603:29.10791738,2602:118.95761711,3012:231,3013:90,3014:20250807133842,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139569266937856$EC73BD2504030074$REALTIME$TIME:20250807133849,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.73,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.3,2603:29.10790946,2602:118.95760861,3012:209,3013:90,3014:20250807133843,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139569271132160$EC73BD2504030074$REALTIME$TIME:20250807133849,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.73,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4,2603:29.10789826,2602:118.95760601,3012:169,3013:90,3014:20250807133844,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139569275326464$EC73BD2504030074$REALTIME$TIME:20250807133849,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.73,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.7,2603:29.10788800,2602:118.95761428,3012:109,3013:90,3014:20250807133845,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139569279520768$EC73BD2504030074$REALTIME$TIME:20250807133849,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.73,4033:23,4040:0,4041:0,4043:0,4044:1,2204:5.6,2603:29.10788516,2602:118.95762873,3012:74,3013:90,3014:20250807133846,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139569283715072$EC73BD2504030074$REALTIME$TIME:20250807133849,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.73,4033:23,4040:0,4041:0,4043:0,4044:1,2204:5.3,2603:29.10788928,2602:118.95764211,3012:45,3013:90,3014:20250807133847,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139569287909376$EC73BD2504030074$REALTIME$TIME:20250807133849,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.73,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.9,2603:29.10789928,2602:118.95765174,3012:54,3013:90,3014:20250807133848,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139569292103680$EC73BD2504030074$REALTIME$TIME:20250807133849,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.73,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.4,2603:29.10790835,2602:118.95766020,3012:40,3013:90,3014:20250807133849,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139611411308544$EC73BD2504030074$REALTIME$TIME:20250807133859,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.78,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.6,2603:29.10791536,2602:118.95767056,3012:54,3013:90,3014:20250807133850,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139611415502848$EC73BD2504030074$REALTIME$TIME:20250807133859,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.78,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.4,2603:29.10792161,2602:118.95768156,3012:54,3013:90,3014:20250807133851,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139611419697152$EC73BD2504030074$REALTIME$TIME:20250807133859,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.78,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.4,2603:29.10792801,2602:118.95769235,3012:52,3013:90,3014:20250807133852,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139611423891456$EC73BD2504030074$REALTIME$TIME:20250807133859,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.78,4033:23,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:29.10793515,2602:118.95770313,3012:55,3013:90,3014:20250807133853,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139611428085760$EC73BD2504030074$REALTIME$TIME:20250807133859,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.78,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.1,2603:29.10794265,2602:118.95771281,3012:47,3013:90,3014:20250807133854,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139611432280064$EC73BD2504030074$REALTIME$TIME:20250807133859,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.78,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.5,2603:29.10794920,2602:118.95772370,3012:56,3013:90,3014:20250807133855,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139611436474368$EC73BD2504030074$REALTIME$TIME:20250807133859,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.78,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.6,2603:29.10795528,2602:118.95773508,3012:60,3013:90,3014:20250807133856,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139611440668672$EC73BD2504030074$REALTIME$TIME:20250807133859,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.78,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.5,2603:29.10796090,2602:118.95774640,3012:59,3013:90,3014:20250807133857,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139611444862976$EC73BD2504030074$REALTIME$TIME:20250807133859,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.78,4033:23,4040:0,4041:0,4043:0,4044:1,2204:5,2603:29.10796715,2602:118.95775670,3012:57,3013:90,3014:20250807133858,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139611449057280$EC73BD2504030074$REALTIME$TIME:20250807133859,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.78,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4,2603:29.10797291,2602:118.95776768,3012:50,3013:90,3014:20250807133859,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139653413060608$EC73BD2504030074$REALTIME$TIME:20250807133909,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.84,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.3,2603:29.10797858,2602:118.95777891,3012:57,3013:90,3014:20250807133900,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139653417254912$EC73BD2504030074$REALTIME$TIME:20250807133909,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.84,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.7,2603:29.10798465,2602:118.95778991,3012:60,3013:90,3014:20250807133901,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139653421449216$EC73BD2504030074$REALTIME$TIME:20250807133909,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.84,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.8,2603:29.10799086,2602:118.95780085,3012:68,3013:90,3014:20250807133902,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139653425643520$EC73BD2504030074$REALTIME$TIME:20250807133909,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.84,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.5,2603:29.10799670,2602:118.95781268,3012:63,3013:90,3014:20250807133903,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139653429837824$EC73BD2504030074$REALTIME$TIME:20250807133909,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.84,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.4,2603:29.10800308,2602:118.95782375,3012:52,3013:90,3014:20250807133904,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139653434032128$EC73BD2504030074$REALTIME$TIME:20250807133909,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.84,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.5,2603:29.10801020,2602:118.95783441,3012:61,3013:90,3014:20250807133905,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139653438226432$EC73BD2504030074$REALTIME$TIME:20250807133909,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.84,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.2,2603:29.10801670,2602:118.95784525,3012:35,3013:90,3014:20250807133906,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139653442420736$EC73BD2504030074$REALTIME$TIME:20250807133909,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.84,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.4,2603:29.10802369,2602:118.95785583,3012:53,3013:90,3014:20250807133907,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139653446615040$EC73BD2504030074$REALTIME$TIME:20250807133909,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.84,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.2,2603:29.10802696,2602:118.95786810,3012:80,3013:90,3014:20250807133908,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139653450809344$EC73BD2504030074$REALTIME$TIME:20250807133909,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.84,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.2,2603:29.10802626,2602:118.95787989,3012:111,3013:90,3014:20250807133909,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139695691657216$EC73BD2504030074$REALTIME$TIME:20250807133919,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.90,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.8,2603:29.10801863,2602:118.95788956,3012:150,3013:90,3014:20250807133910,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139695695851520$EC73BD2504030074$REALTIME$TIME:20250807133919,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.90,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.4,2603:29.10800720,2602:118.95789083,3012:189,3013:90,3014:20250807133911,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139695700045824$EC73BD2504030074$REALTIME$TIME:20250807133919,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.90,4033:23,4040:0,4041:0,4043:0,4044:1,2204:6.4,2603:29.10799675,2602:118.95788361,3012:228,3013:90,3014:20250807133912,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139695704240128$EC73BD2504030074$REALTIME$TIME:20250807133919,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.90,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.7,2603:29.10799181,2602:118.95787058,3012:271,3013:90,3014:20250807133913,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139695708434432$EC73BD2504030074$REALTIME$TIME:20250807133919,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.90,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4,2603:29.10799050,2602:118.95785691,3012:259,3013:90,3014:20250807133914,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139695712628736$EC73BD2504030074$REALTIME$TIME:20250807133919,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.90,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4,2603:29.10798753,2602:118.95784540,3012:244,3013:90,3014:20250807133915,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139695716823040$EC73BD2504030074$REALTIME$TIME:20250807133919,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.90,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.8,2603:29.10798356,2602:118.95783323,3012:248,3013:90,3014:20250807133916,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139695721017344$EC73BD2504030074$REALTIME$TIME:20250807133919,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.90,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.2,2603:29.10797868,2602:118.95782188,3012:243,3013:90,3014:20250807133917,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139695725211648$EC73BD2504030074$REALTIME$TIME:20250807133919,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.90,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.7,2603:29.10797366,2602:118.95781013,3012:234,3013:90,3014:20250807133918,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139695729405952$EC73BD2504030074$REALTIME$TIME:20250807133919,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.90,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.5,2603:29.10796728,2602:118.95779946,3012:236,3013:90,3014:20250807133919,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139737869590528$EC73BD2504030074$REALTIME$TIME:20250807133929,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.95,4033:23,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:29.10796091,2602:118.95778846,3012:242,3013:90,3014:20250807133920,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139737873784832$EC73BD2504030074$REALTIME$TIME:20250807133929,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.95,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.4,2603:29.10795483,2602:118.95777765,3012:236,3013:90,3014:20250807133921,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139737877979136$EC73BD2504030074$REALTIME$TIME:20250807133929,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.95,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.5,2603:29.10794858,2602:118.95776671,3012:237,3013:90,3014:20250807133922,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139737882173440$EC73BD2504030074$REALTIME$TIME:20250807133929,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.95,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.3,2603:29.10794206,2602:118.95775648,3012:229,3013:90,3014:20250807133923,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139737886367744$EC73BD2504030074$REALTIME$TIME:20250807133929,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.95,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.2,2603:29.10793568,2602:118.95774623,3012:236,3013:90,3014:20250807133924,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139737890562048$EC73BD2504030074$REALTIME$TIME:20250807133929,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.95,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.5,2603:29.10792938,2602:118.95773588,3012:243,3013:90,3014:20250807133925,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139737894756352$EC73BD2504030074$REALTIME$TIME:20250807133929,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.95,4033:23,4040:0,4041:0,4043:0,4044:1,2204:5.1,2603:29.10792275,2602:118.95772534,3012:230,3013:90,3014:20250807133926,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139737898950656$EC73BD2504030074$REALTIME$TIME:20250807133929,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.95,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.2,2603:29.10791576,2602:118.95771421,3012:234,3013:90,3014:20250807133927,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139737903144960$EC73BD2504030074$REALTIME$TIME:20250807133929,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.95,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.6,2603:29.10790951,2602:118.95770391,3012:241,3013:90,3014:20250807133928,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139737907339264$EC73BD2504030074$REALTIME$TIME:20250807133929,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.95,4033:23,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:29.10790410,2602:118.95769220,3012:236,3013:90,3014:20250807133929,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139779976179712$EC73BD2504030074$REALTIME$TIME:20250807133939,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.99,4033:23,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:29.10789846,2602:118.95768263,3012:235,3013:90,3014:20250807133930,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139779980374016$EC73BD2504030074$REALTIME$TIME:20250807133939,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.99,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.3,2603:29.10789223,2602:118.95767215,3012:233,3013:90,3014:20250807133931,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139779984568320$EC73BD2504030074$REALTIME$TIME:20250807133939,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.99,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4,2603:29.10788530,2602:118.95766235,3012:232,3013:90,3014:20250807133932,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139779988762624$EC73BD2504030074$REALTIME$TIME:20250807133939,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.99,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.4,2603:29.10787966,2602:118.95765143,3012:239,3013:90,3014:20250807133933,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139779992956928$EC73BD2504030074$REALTIME$TIME:20250807133939,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.99,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.5,2603:29.10787360,2602:118.95763985,3012:260,3013:90,3014:20250807133934,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139779997151232$EC73BD2504030074$REALTIME$TIME:20250807133939,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.99,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.7,2603:29.10786508,2602:118.95763080,3012:209,3013:90,3014:20250807133935,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139780001345536$EC73BD2504030074$REALTIME$TIME:20250807133939,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.99,4033:23,4040:0,4041:0,4043:0,4044:1,2204:4.7,2603:29.10785353,2602:118.95763173,3012:154,3013:90,3014:20250807133936,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139780005539840$EC73BD2504030074$REALTIME$TIME:20250807133939,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.99,4033:23,4040:0,4041:0,4043:0,4044:1,2204:6.8,2603:29.10784425,2602:118.95764241,3012:113,3013:90,3014:20250807133937,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139780009734144$EC73BD2504030074$REALTIME$TIME:20250807133939,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.99,4033:23,4040:0,4041:0,4043:0,4044:1,2204:5.5,2603:29.10784365,2602:118.95765770,3012:56,3013:90,3014:20250807133938,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139780013928448$EC73BD2504030074$REALTIME$TIME:20250807133939,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:5.99,4033:23,4040:0,4041:0,4043:0,4044:1,2204:5.2,2603:29.10785190,2602:118.95767011,3012:28,3013:90,3014:20250807133939,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139822191865856$EC73BD2504030074$REALTIME$TIME:20250807133949,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:6.03,4033:24,4040:0,4041:0,4043:0,4044:1,2204:4.9,2603:29.10786225,2602:118.95767715,3012:21,3013:90,3014:20250807133940,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139822196060160$EC73BD2504030074$REALTIME$TIME:20250807133949,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:6.03,4033:24,4040:0,4041:0,4043:0,4044:1,2204:5.8,2603:29.10787190,2602:118.95768430,3012:42,3013:90,3014:20250807133941,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139822200254464$EC73BD2504030074$REALTIME$TIME:20250807133949,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:6.03,4033:24,4040:0,4041:0,4043:0,4044:1,2204:4.1,2603:29.10787910,2602:118.95769398,3012:53,3013:90,3014:20250807133942,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139822204448768$EC73BD2504030074$REALTIME$TIME:20250807133949,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:6.03,4033:24,4040:0,4041:0,4043:0,4044:1,2204:4.4,2603:29.10788493,2602:118.95770496,3012:49,3013:90,3014:20250807133943,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139822208643072$EC73BD2504030074$REALTIME$TIME:20250807133949,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:6.03,4033:24,4040:0,4041:0,4043:0,4044:1,2204:4.4,2603:29.10789158,2602:118.95771543,3012:47,3013:90,3014:20250807133944,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139822212837376$EC73BD2504030074$REALTIME$TIME:20250807133949,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:6.03,4033:24,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:29.10789798,2602:118.95772686,3012:59,3013:90,3014:20250807133945,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139822217031680$EC73BD2504030074$REALTIME$TIME:20250807133949,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:6.03,4033:24,4040:0,4041:0,4043:0,4044:1,2204:4.5,2603:29.10790378,2602:118.95773766,3012:60,3013:90,3014:20250807133946,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139822221225984$EC73BD2504030074$REALTIME$TIME:20250807133949,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:6.03,4033:24,4040:0,4041:0,4043:0,4044:1,2204:4.5,2603:29.10790968,2602:118.95774913,3012:54,3013:90,3014:20250807133947,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139822225420288$EC73BD2504030074$REALTIME$TIME:20250807133949,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:6.03,4033:24,4040:0,4041:0,4043:0,4044:1,2204:4.5,2603:29.10791600,2602:118.95775996,3012:56,3013:90,3014:20250807133948,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139822229614592$EC73BD2504030074$REALTIME$TIME:20250807133949,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:6.03,4033:24,4040:0,4041:0,4043:0,4044:1,2204:4,2603:29.10792221,2602:118.95777080,3012:52,3013:90,3014:20250807133949,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139864474632192$EC73BD2504030074$REALTIME$TIME:20250807134000,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:6.09,4033:24,4040:0,4041:0,4043:0,4044:1,2204:4.5,2603:29.10792871,2602:118.95778121,3012:54,3013:90,3014:20250807133950,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7353139864478826496$EC73BD2504030074$REALTIME$TIME:20250807134000,gw:farm,3004:55,4042:1,4030:2,4031:1,4032:6.09,4033:24,4040:0,4041:0,4043:0,4044:1,2204:5.4,2603:29.10793478,2602:118.95779208,3012:77,3013:90,3014:20250807133951,3015:24,3016:62,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
