SUBMIT$7318350011618983936$NJ4GBQSAX0000687$REALTIME$TIME:20250503133732,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:0.00,4033:0,2204:10.9,2603:28.8453790,2602:113.2050090,3012:236,3013:56,3014:20250503133731,3015:12,3016:12,4014:1,2601:0,3019:0,4040:0,4041:0,4043:0,4044:1
SUBMIT$7318371533658140672$NJ4GBQSAX0000687$REALTIME$TIME:20250503150303,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.72,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:28.8415240,2602:113.1997950,3012:41,3013:33,3014:20250503150253,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371533662334976$NJ4GBQSAX0000687$REALTIME$TIME:20250503150303,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.72,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:4.1,2603:28.8415320,2602:113.1998020,3012:41,3013:33,3014:20250503150254,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371533666529280$NJ4GBQSAX0000687$REALTIME$TIME:20250503150303,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.72,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:4.2,2603:28.8415400,2602:113.1998110,3012:42,3013:33,3014:20250503150255,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371533670723584$NJ4GBQSAX0000687$REALTIME$TIME:20250503150303,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.72,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:4.1,2603:28.8415470,2602:113.1998190,3012:44,3013:33,3014:20250503150256,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371533674917888$NJ4GBQSAX0000687$REALTIME$TIME:20250503150303,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.72,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:28.8415540,2602:113.1998270,3012:43,3013:33,3014:20250503150257,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371533679112192$NJ4GBQSAX0000687$REALTIME$TIME:20250503150303,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.72,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:4.1,2603:28.8415620,2602:113.1998340,3012:42,3013:33,3014:20250503150258,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371533683306496$NJ4GBQSAX0000687$REALTIME$TIME:20250503150303,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.72,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:4,2603:28.8415690,2602:113.1998420,3012:43,3013:33,3014:20250503150259,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371533687500800$NJ4GBQSAX0000687$REALTIME$TIME:20250503150303,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.72,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:4.2,2603:28.8415770,2602:113.1998510,3012:45,3013:33,3014:20250503150300,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371533691695104$NJ4GBQSAX0000687$REALTIME$TIME:20250503150303,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.72,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:4.5,2603:28.8415840,2602:113.1998610,3012:47,3013:33,3014:20250503150301,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371576351989760$NJ4GBQSAX0000687$REALTIME$TIME:20250503150314,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.77,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:28.8415920,2602:113.1998690,3012:45,3013:33,3014:20250503150302,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371576356184064$NJ4GBQSAX0000687$REALTIME$TIME:20250503150314,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.77,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:28.8415990,2602:113.1998770,3012:43,3013:33,3014:20250503150303,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371576360378368$NJ4GBQSAX0000687$REALTIME$TIME:20250503150314,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.77,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:4,2603:28.8416070,2602:113.1998840,3012:39,3013:33,3014:20250503150304,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371576364572672$NJ4GBQSAX0000687$REALTIME$TIME:20250503150314,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.77,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:4.2,2603:28.8416160,2602:113.1998910,3012:39,3013:33,3014:20250503150305,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371576368766976$NJ4GBQSAX0000687$REALTIME$TIME:20250503150314,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.77,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:4.1,2603:28.8416230,2602:113.1999000,3012:42,3013:33,3014:20250503150306,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371576372961280$NJ4GBQSAX0000687$REALTIME$TIME:20250503150314,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.77,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:4.3,2603:28.8416310,2602:113.1999080,3012:42,3013:33,3014:20250503150307,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371576377155584$NJ4GBQSAX0000687$REALTIME$TIME:20250503150314,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.77,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:4.3,2603:28.8416390,2602:113.1999170,3012:45,3013:33,3014:20250503150308,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371576381349888$NJ4GBQSAX0000687$REALTIME$TIME:20250503150314,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.77,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:3.7,2603:28.8416450,2602:113.1999250,3012:45,3013:33,3014:20250503150309,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371576385544192$NJ4GBQSAX0000687$REALTIME$TIME:20250503150314,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.77,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:2.9,2603:28.8416510,2602:113.1999300,3012:41,3013:33,3014:20250503150310,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371576389738496$NJ4GBQSAX0000687$REALTIME$TIME:20250503150314,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.77,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:2.4,2603:28.8416570,2602:113.1999280,3012:15,3013:33,3014:20250503150311,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371618878009344$NJ4GBQSAX0000687$REALTIME$TIME:20250503150324,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:2.6,2603:28.8416590,2602:113.1999210,3012:340,3013:33,3014:20250503150312,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371618882203648$NJ4GBQSAX0000687$REALTIME$TIME:20250503150324,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:2.6,2603:28.8416580,2602:113.1999140,3012:295,3013:33,3014:20250503150313,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371618886397952$NJ4GBQSAX0000687$REALTIME$TIME:20250503150324,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:3.3,2603:28.8416530,2602:113.1999060,3012:258,3013:33,3014:20250503150314,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371618890592256$NJ4GBQSAX0000687$REALTIME$TIME:20250503150324,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:3.6,2603:28.8416440,2602:113.1999020,3012:213,3013:33,3014:20250503150315,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371618894786560$NJ4GBQSAX0000687$REALTIME$TIME:20250503150324,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:3.7,2603:28.8416350,2602:113.1999030,3012:190,3013:33,3014:20250503150316,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371618898980864$NJ4GBQSAX0000687$REALTIME$TIME:20250503150324,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:2.3,2603:28.8416290,2602:113.1999010,3012:192,3013:33,3014:20250503150317,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371618903175168$NJ4GBQSAX0000687$REALTIME$TIME:20250503150324,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:1.1,2603:28.8416270,2602:113.1998990,3012:195,3013:33,3014:20250503150318,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371618907369472$NJ4GBQSAX0000687$REALTIME$TIME:20250503150324,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998980,3012:0,3013:33,3014:20250503150319,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371618911563776$NJ4GBQSAX0000687$REALTIME$TIME:20250503150324,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:0.1,2603:28.8416270,2602:113.1998980,3012:0,3013:33,3014:20250503150320,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371618915758080$NJ4GBQSAX0000687$REALTIME$TIME:20250503150324,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1950,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998980,3012:0,3013:33,3014:20250503150321,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371661450219520$NJ4GBQSAX0000687$REALTIME$TIME:20250503150334,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998980,3012:0,3013:33,3014:20250503150322,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371661454413824$NJ4GBQSAX0000687$REALTIME$TIME:20250503150334,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998980,3012:0,3013:33,3014:20250503150323,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371661458608128$NJ4GBQSAX0000687$REALTIME$TIME:20250503150334,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998980,3012:0,3013:33,3014:20250503150324,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371661462802432$NJ4GBQSAX0000687$REALTIME$TIME:20250503150334,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998980,3012:0,3013:33,3014:20250503150325,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371661466996736$NJ4GBQSAX0000687$REALTIME$TIME:20250503150334,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998980,3012:0,3013:33,3014:20250503150326,3015:19,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371661471191040$NJ4GBQSAX0000687$REALTIME$TIME:20250503150334,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416260,2602:113.1998980,3012:0,3013:33,3014:20250503150327,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371661475385344$NJ4GBQSAX0000687$REALTIME$TIME:20250503150334,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0.1,2603:28.8416270,2602:113.1998980,3012:0,3013:33,3014:20250503150328,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371661479579648$NJ4GBQSAX0000687$REALTIME$TIME:20250503150334,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998980,3012:0,3013:33,3014:20250503150329,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371661483773952$NJ4GBQSAX0000687$REALTIME$TIME:20250503150334,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998980,3012:0,3013:33,3014:20250503150330,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371661487968256$NJ4GBQSAX0000687$REALTIME$TIME:20250503150334,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998970,3012:0,3013:33,3014:20250503150331,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371705867886592$NJ4GBQSAX0000687$REALTIME$TIME:20250503150345,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998970,3012:0,3013:33,3014:20250503150332,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371705872080896$NJ4GBQSAX0000687$REALTIME$TIME:20250503150345,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416260,2602:113.1998970,3012:0,3013:33,3014:20250503150333,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371705876275200$NJ4GBQSAX0000687$REALTIME$TIME:20250503150345,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416260,2602:113.1998970,3012:0,3013:33,3014:20250503150334,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371705880469504$NJ4GBQSAX0000687$REALTIME$TIME:20250503150345,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416260,2602:113.1998970,3012:0,3013:33,3014:20250503150335,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371705884663808$NJ4GBQSAX0000687$REALTIME$TIME:20250503150345,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416260,2602:113.1998970,3012:0,3013:33,3014:20250503150336,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371684304957440$NJ4GBQSAX0000687$REALTIME$TIME:20250503150339,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,2204:0,2603:28.8416260,2602:113.1998970,3012:0,3013:33,3014:20250503150337,3015:20,3016:12,4014:0,2601:0,3019:0,4040:0,4041:0,4043:0,4044:1
SUBMIT$7318371705888858112$NJ4GBQSAX0000687$REALTIME$TIME:20250503150345,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416260,2602:113.1998970,3012:0,3013:33,3014:20250503150338,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371705893052416$NJ4GBQSAX0000687$REALTIME$TIME:20250503150345,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416260,2602:113.1998970,3012:0,3013:33,3014:20250503150339,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371705897246720$NJ4GBQSAX0000687$REALTIME$TIME:20250503150345,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416260,2602:113.1998970,3012:0,3013:33,3014:20250503150340,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371705901441024$NJ4GBQSAX0000687$REALTIME$TIME:20250503150345,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416260,2602:113.1998970,3012:0,3013:33,3014:20250503150341,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371748490391552$NJ4GBQSAX0000687$REALTIME$TIME:20250503150355,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416260,2602:113.1998970,3012:0,3013:33,3014:20250503150342,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371748494585856$NJ4GBQSAX0000687$REALTIME$TIME:20250503150355,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998960,3012:0,3013:33,3014:20250503150343,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371748498780160$NJ4GBQSAX0000687$REALTIME$TIME:20250503150355,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998960,3012:0,3013:33,3014:20250503150344,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371748502974464$NJ4GBQSAX0000687$REALTIME$TIME:20250503150355,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998960,3012:0,3013:33,3014:20250503150345,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371748507168768$NJ4GBQSAX0000687$REALTIME$TIME:20250503150355,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998960,3012:0,3013:33,3014:20250503150346,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371748511363072$NJ4GBQSAX0000687$REALTIME$TIME:20250503150355,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998960,3012:0,3013:33,3014:20250503150347,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371748515557376$NJ4GBQSAX0000687$REALTIME$TIME:20250503150355,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998960,3012:0,3013:33,3014:20250503150348,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371748519751680$NJ4GBQSAX0000687$REALTIME$TIME:20250503150355,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998960,3012:0,3013:33,3014:20250503150349,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371748523945984$NJ4GBQSAX0000687$REALTIME$TIME:20250503150355,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:0,2603:28.8416270,2602:113.1998960,3012:0,3013:33,3014:20250503150350,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371748528140288$NJ4GBQSAX0000687$REALTIME$TIME:20250503150355,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.78,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:1.8,2603:28.8416240,2602:113.1998920,3012:0,3013:33,3014:20250503150351,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371790907412480$NJ4GBQSAX0000687$REALTIME$TIME:20250503150405,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.79,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:28.8416170,2602:113.1998840,3012:0,3013:33,3014:20250503150352,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371790911606784$NJ4GBQSAX0000687$REALTIME$TIME:20250503150405,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.79,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:28.8416100,2602:113.1998760,3012:0,3013:33,3014:20250503150353,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371790915801088$NJ4GBQSAX0000687$REALTIME$TIME:20250503150405,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.79,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:4,2603:28.8416020,2602:113.1998690,3012:213,3013:33,3014:20250503150354,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371790919995392$NJ4GBQSAX0000687$REALTIME$TIME:20250503150405,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.79,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:4.1,2603:28.8415940,2602:113.1998610,3012:218,3013:33,3014:20250503150355,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371790924189696$NJ4GBQSAX0000687$REALTIME$TIME:20250503150405,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.79,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:3.8,2603:28.8415870,2602:113.1998540,3012:219,3013:33,3014:20250503150356,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371790928384000$NJ4GBQSAX0000687$REALTIME$TIME:20250503150405,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.79,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:4.4,2603:28.8415790,2602:113.1998450,3012:222,3013:33,3014:20250503150357,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371790932578304$NJ4GBQSAX0000687$REALTIME$TIME:20250503150405,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.79,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:3.7,2603:28.8415720,2602:113.1998370,3012:225,3013:33,3014:20250503150358,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371790936772608$NJ4GBQSAX0000687$REALTIME$TIME:20250503150405,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.79,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:4.2,2603:28.8415650,2602:113.1998290,3012:224,3013:33,3014:20250503150359,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371790940966912$NJ4GBQSAX0000687$REALTIME$TIME:20250503150405,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.79,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:4.3,2603:28.8415570,2602:113.1998190,3012:226,3013:33,3014:20250503150400,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371790945161216$NJ4GBQSAX0000687$REALTIME$TIME:20250503150405,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.79,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:3.8,2603:28.8415500,2602:113.1998120,3012:223,3013:33,3014:20250503150401,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371833479581696$NJ4GBQSAX0000687$REALTIME$TIME:20250503150415,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.80,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:4.2,2603:28.8415430,2602:113.1998040,3012:224,3013:33,3014:20250503150402,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371833483776000$NJ4GBQSAX0000687$REALTIME$TIME:20250503150415,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.80,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:3.7,2603:28.8415350,2602:113.1997970,3012:219,3013:33,3014:20250503150403,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371833487970304$NJ4GBQSAX0000687$REALTIME$TIME:20250503150415,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.80,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:4.2,2603:28.8415280,2602:113.1997890,3012:223,3013:33,3014:20250503150404,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371833492164608$NJ4GBQSAX0000687$REALTIME$TIME:20250503150415,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.80,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:4,2603:28.8415200,2602:113.1997810,3012:222,3013:33,3014:20250503150405,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371833496358912$NJ4GBQSAX0000687$REALTIME$TIME:20250503150415,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.80,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:4,2603:28.8415120,2602:113.1997730,3012:222,3013:33,3014:20250503150406,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371833500553216$NJ4GBQSAX0000687$REALTIME$TIME:20250503150415,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.80,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:4.1,2603:28.8415050,2602:113.1997650,3012:221,3013:33,3014:20250503150407,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371833504747520$NJ4GBQSAX0000687$REALTIME$TIME:20250503150415,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.80,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:4.3,2603:28.8414960,2602:113.1997580,3012:219,3013:33,3014:20250503150408,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371833508941824$NJ4GBQSAX0000687$REALTIME$TIME:20250503150415,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.80,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:28.8414890,2602:113.1997500,3012:221,3013:33,3014:20250503150409,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371833513136128$NJ4GBQSAX0000687$REALTIME$TIME:20250503150415,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.80,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:4,2603:28.8414810,2602:113.1997420,3012:221,3013:33,3014:20250503150410,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371833517330432$NJ4GBQSAX0000687$REALTIME$TIME:20250503150415,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.80,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:4,2603:28.8414740,2602:113.1997340,3012:223,3013:33,3014:20250503150411,3015:20,3016:12,4014:0,2601:0,3019:0
SUBMIT$7318371876093726720$NJ4GBQSAX0000687$REALTIME$TIME:20250503150425,gw:farm,3004:18,4042:1,4030:2,4031:1,4032:225.82,4033:1951,4040:0,4041:0,4043:0,4044:1,2204:3.8,2603:28.8414670,2602:113.1997260,3012:224,3013:33,3014:20250503150412,3015:20,3016:12,4014:0,2601:0,3019:0
