SUBMIT$7385323754907656192$EC73BD2506050018$REALTIME$TIME:20251104090717,gw:farm,3004:55,4042:1,4030:1,4031:0,4032:0.20,4033:6,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,2603:22.54082890,2602:107.79342390,2204:0,3012:80,3013:96,3014:20251104090717,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:1,4404:5,4040:0,4041:0,4043:0,4044:1
SUBMIT$7385325735663534080$EC73BD2506050018$REALTIME$TIME:20251104091509,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:7,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:22.54078635,2602:107.79290673,3012:295,3013:95,3014:20251104091501,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325735667728384$EC73BD2506050018$REALTIME$TIME:20251104091509,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:7,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:22.54079210,2602:107.79289825,3012:306,3013:95,3014:20251104091502,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325735671922688$EC73BD2506050018$REALTIME$TIME:20251104091509,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:7,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.8,2603:22.54079808,2602:107.79288986,3012:306,3013:95,3014:20251104091503,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325735676116992$EC73BD2506050018$REALTIME$TIME:20251104091509,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:7,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.8,2603:22.54080296,2602:107.79288079,3012:298,3013:95,3014:20251104091504,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325735680311296$EC73BD2506050018$REALTIME$TIME:20251104091509,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:7,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:22.54080598,2602:107.79287091,3012:285,3013:95,3014:20251104091505,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325735684505600$EC73BD2506050018$REALTIME$TIME:20251104091509,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:7,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.8,2603:22.54080611,2602:107.79286058,3012:269,3013:95,3014:20251104091506,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325735688699904$EC73BD2506050018$REALTIME$TIME:20251104091509,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:7,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.8,2603:22.54080328,2602:107.79285055,3012:255,3013:95,3014:20251104091507,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325735692894208$EC73BD2506050018$REALTIME$TIME:20251104091509,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:7,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.8,2603:22.54079746,2602:107.79284206,3012:234,3013:96,3014:20251104091508,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325735697088512$EC73BD2506050018$REALTIME$TIME:20251104091509,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:7,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.8,2603:22.54078965,2602:107.79283596,3012:213,3013:95,3014:20251104091509,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325777778520064$EC73BD2506050018$REALTIME$TIME:20251104091519,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:22.54078051,2602:107.79283243,3012:196,3013:95,3014:20251104091510,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325777782714368$EC73BD2506050018$REALTIME$TIME:20251104091519,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.7,2603:22.54077073,2602:107.79283248,3012:177,3013:95,3014:20251104091511,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325777786908672$EC73BD2506050018$REALTIME$TIME:20251104091519,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.7,2603:22.54076143,2602:107.79283571,3012:160,3013:96,3014:20251104091512,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325777791102976$EC73BD2506050018$REALTIME$TIME:20251104091519,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.8,2603:22.54075325,2602:107.79284158,3012:143,3013:96,3014:20251104091513,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325777795297280$EC73BD2506050018$REALTIME$TIME:20251104091519,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.7,2603:22.54074678,2602:107.79284935,3012:129,3013:95,3014:20251104091514,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325777799491584$EC73BD2506050018$REALTIME$TIME:20251104091519,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:22.54074241,2602:107.79285866,3012:113,3013:95,3014:20251104091515,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325777803685888$EC73BD2506050018$REALTIME$TIME:20251104091519,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:4,2603:22.54074065,2602:107.79286913,3012:96,3013:95,3014:20251104091516,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325777807880192$EC73BD2506050018$REALTIME$TIME:20251104091519,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:22.54074143,2602:107.79287961,3012:83,3013:95,3014:20251104091517,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325777816268800$EC73BD2506050018$REALTIME$TIME:20251104091519,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.8,2603:22.54074338,2602:107.79288993,3012:75,3013:96,3014:20251104091518,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325777820463104$EC73BD2506050018$REALTIME$TIME:20251104091519,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:22.54074606,2602:107.79289998,3012:74,3013:95,3014:20251104091519,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325819994189824$EC73BD2506050018$REALTIME$TIME:20251104091529,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:22.54074863,2602:107.79291013,3012:72,3013:95,3014:20251104091520,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325819998384128$EC73BD2506050018$REALTIME$TIME:20251104091529,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.7,2603:22.54075113,2602:107.79292028,3012:75,3013:95,3014:20251104091521,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325820002578432$EC73BD2506050018$REALTIME$TIME:20251104091529,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.8,2603:22.54075255,2602:107.79293070,3012:80,3013:95,3014:20251104091522,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325820006772736$EC73BD2506050018$REALTIME$TIME:20251104091529,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:22.54075316,2602:107.79294110,3012:84,3013:95,3014:20251104091523,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325820010967040$EC73BD2506050018$REALTIME$TIME:20251104091529,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.7,2603:22.54075333,2602:107.79294943,3012:89,3013:95,3014:20251104091524,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325820015161344$EC73BD2506050018$REALTIME$TIME:20251104091529,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0.6,2603:22.54075333,2602:107.79295143,3012:103,3013:95,3014:20251104091525,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325820019355648$EC73BD2506050018$REALTIME$TIME:20251104091529,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54075333,2602:107.79295126,3012:179,3013:95,3014:20251104091526,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325820023549952$EC73BD2506050018$REALTIME$TIME:20251104091529,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54075333,2602:107.79295120,3012:9,3013:95,3014:20251104091527,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325820027744256$EC73BD2506050018$REALTIME$TIME:20251104091529,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:1.4,2603:22.54075330,2602:107.79294828,3012:259,3013:96,3014:20251104091528,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325820031938560$EC73BD2506050018$REALTIME$TIME:20251104091529,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.4,2603:22.54075318,2602:107.79293743,3012:267,3013:95,3014:20251104091529,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325862272794624$EC73BD2506050018$REALTIME$TIME:20251104091539,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:22.54075370,2602:107.79292678,3012:272,3013:95,3014:20251104091530,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325862276988928$EC73BD2506050018$REALTIME$TIME:20251104091539,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.9,2603:22.54075358,2602:107.79291611,3012:269,3013:95,3014:20251104091531,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325862281183232$EC73BD2506050018$REALTIME$TIME:20251104091539,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:3.7,2603:22.54075368,2602:107.79290575,3012:272,3013:95,3014:20251104091532,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325862285377536$EC73BD2506050018$REALTIME$TIME:20251104091539,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:1.3,2603:22.54075378,2602:107.79290041,3012:279,3013:95,3014:20251104091533,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325862289571840$EC73BD2506050018$REALTIME$TIME:20251104091539,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54075380,2602:107.79290073,3012:18,3013:95,3014:20251104091534,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325862293766144$EC73BD2506050018$REALTIME$TIME:20251104091539,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0.3,2603:22.54075371,2602:107.79290190,3012:83,3013:95,3014:20251104091535,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325862297960448$EC73BD2506050018$REALTIME$TIME:20251104091539,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2,2603:22.54075373,2602:107.79290756,3012:85,3013:96,3014:20251104091536,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325862302154752$EC73BD2506050018$REALTIME$TIME:20251104091539,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2,2603:22.54075380,2602:107.79291315,3012:87,3013:95,3014:20251104091537,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325862306349056$EC73BD2506050018$REALTIME$TIME:20251104091539,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.1,2603:22.54075383,2602:107.79291868,3012:90,3013:96,3014:20251104091538,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325862310543360$EC73BD2506050018$REALTIME$TIME:20251104091539,gw:farm,3004:55,4042:1,4030:2,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2,2603:22.54075391,2602:107.79292426,3012:87,3013:96,3014:20251104091539,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325904350060544$EC73BD2506050018$REALTIME$TIME:20251104091549,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:1.9,2603:22.54075395,2602:107.79292980,3012:86,3013:95,3014:20251104091540,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325904354254848$EC73BD2506050018$REALTIME$TIME:20251104091549,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:1.9,2603:22.54075395,2602:107.79293531,3012:89,3013:95,3014:20251104091541,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325904358449152$EC73BD2506050018$REALTIME$TIME:20251104091549,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:1.9,2603:22.54075395,2602:107.79294088,3012:90,3013:95,3014:20251104091542,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325904362643456$EC73BD2506050018$REALTIME$TIME:20251104091549,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:2.1,2603:22.54075383,2602:107.79294638,3012:91,3013:95,3014:20251104091543,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325904366837760$EC73BD2506050018$REALTIME$TIME:20251104091549,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0.9,2603:22.54075381,2602:107.79295086,3012:93,3013:95,3014:20251104091544,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325904371032064$EC73BD2506050018$REALTIME$TIME:20251104091549,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54075381,2602:107.79295056,3012:123,3013:95,3014:20251104091545,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325904375226368$EC73BD2506050018$REALTIME$TIME:20251104091549,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54075383,2602:107.79295061,3012:331,3013:95,3014:20251104091546,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325904379420672$EC73BD2506050018$REALTIME$TIME:20251104091549,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54075380,2602:107.79295063,3012:5,3013:96,3014:20251104091547,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325904383614976$EC73BD2506050018$REALTIME$TIME:20251104091549,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54075383,2602:107.79295060,3012:8,3013:95,3014:20251104091548,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325904387809280$EC73BD2506050018$REALTIME$TIME:20251104091549,gw:farm,3004:55,4042:1,4030:1,4031:2,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54075383,2602:107.79295058,3012:135,3013:95,3014:20251104091549,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325946544746496$EC73BD2506050018$REALTIME$TIME:20251104091559,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54075381,2602:107.79295060,3012:99,3013:95,3014:20251104091550,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325946548940800$EC73BD2506050018$REALTIME$TIME:20251104091559,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54075380,2602:107.79295064,3012:22,3013:95,3014:20251104091551,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325946553135104$EC73BD2506050018$REALTIME$TIME:20251104091559,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54075380,2602:107.79295063,3012:71,3013:95,3014:20251104091552,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325946557329408$EC73BD2506050018$REALTIME$TIME:20251104091559,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0.1,2603:22.54075381,2602:107.79295228,3012:76,3013:95,3014:20251104091553,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325946561523712$EC73BD2506050018$REALTIME$TIME:20251104091559,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54075381,2602:107.79295193,3012:137,3013:95,3014:20251104091554,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325946565718016$EC73BD2506050018$REALTIME$TIME:20251104091559,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54075383,2602:107.79295191,3012:1,3013:95,3014:20251104091555,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325946569912320$EC73BD2506050018$REALTIME$TIME:20251104091559,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54075383,2602:107.79295190,3012:358,3013:95,3014:20251104091556,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325946574106624$EC73BD2506050018$REALTIME$TIME:20251104091559,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54075380,2602:107.79295195,3012:23,3013:96,3014:20251104091557,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325946578300928$EC73BD2506050018$REALTIME$TIME:20251104091559,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54075380,2602:107.79295193,3012:325,3013:95,3014:20251104091558,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
SUBMIT$7385325946582495232$EC73BD2506050018$REALTIME$TIME:20251104091559,gw:farm,3004:55,4042:1,4030:1,4031:1,4032:0.60,4033:8,5137:866136075769203,1002:ODk4NjA4MzYxOTI1ODAwMTE0NjE=,5550:3108204305,4040:0,4041:0,4043:0,4044:1,2204:0,2603:22.54075380,2602:107.79295190,3012:348,3013:96,3014:20251104091559,3015:24,3016:55,4014:0,4430:0,2601:0,3019:0,4403:0,4404:5
